review_id,Ulasan,model_text,gold_kelas_asli,gold_subclass,kelas_terdeteksi_asli,subclass_terdeteksi
PAKAR-0024,aplikasi yang sangat memudahkan untuk transaksi token dan fiturenya lumayan lengkap. serta sangat rekomendasi untuk orang yang tidak mau rumit,aplikasi sangat memudahkan transaksi token fiturenya lumayan lengkap sangat rekomendasi orang tidak mau rumit,KLASIFIKASI FEATURE DESIGN,4A,['Feature Error'],['2B']
PAKAR-0025,untuk nomor ct sekarang main lama proses nya,nomor ct sekarang main lama proses,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0026,"aplikasi ini juga memudahkan kita dalam memperoleh informasi seputar pemasangan daya, penambahan daya, pemadaman hingga pengaduan disaat terjadi troble. di samping itu, aplikasi ini membuat kita lebih efesiensi waktu karena tidak pelu datang ke kantor.",aplikasi memudahkan memperoleh informasi seputar pemasangan daya penambahan daya pemadaman pengaduan disaat terjadi troble samping aplikasi membuat lebih efesiensi waktu tidak pelu datang kantor,KLASIFIKASI UMUM,3A,['Service O2O'],"['1A', '1C']"
PAKAR-0027,da digit diminta saat kita cek tagihan digit bagaimana solusi?,da digit diminta cek tagihan digit bagaimana solusi,KLASIFIKASI FEATURE ERROR,2C,[],[]
PAKAR-0028,makasi banget buat aplikasi pln yang tdi listrik saya mati jadi ngalah lagi pokoknya aplikasi ini praktis dan pelayanan nya bgs,makasi banget buat aplikasi pln tdi listrik mati ngalah pokoknya aplikasi praktis pelayanan bgs,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0029,terima kasih pln untuk pelayanan yang cepat dan solutif,terima kasih pln pelayanan cepat solutif,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0030,"verifikasi nomer telepon susah, gagal terus tolong dipermudah",verifikasi nomer telepon susah gagal terus dipermudah,KLASIFIKASI REGISTRATION,5C,['Registration'],['5D']
PAKAR-0031,sangat membantu dan mudah menggunakan nya dalam setiap layanannya dan perlu di tambah lokasi spklu nya,sangat membantu mudah menggunakan layanannya perlu tambah lokasi spklu,KLASIFIKASI FEATURE DESIGN,4Q,['Feature Error'],['2E']
PAKAR-0032,tiket iconnet reqfqw l udah hari tidak ada teknisi yang datang. internet los tapi tidak dipeduliin sama pihak iconet. udah terus an chat live tetep aja tidak peduli. pikir lagi buat yang mau pasang iconet. iconnet sepertinya bwlum punya teknisi perbaikan.,tiket iconnet reqfqw udah hari tidak teknisi datang internet los tidak dipeduliin sama pihak iconnet udah terus an chat live tetep tidak peduli pikir buat mau pasang iconnet iconnet sepertinya bwlum punya teknisi perbaikan,KLASIFIKASI ICONNET,6B,"['Feature Design', 'ICONNET']","['4P', '6A']"
PAKAR-0033,lebih mudah melaporkan gangguan dan tanpa antri,lebih mudah melaporkan gangguan antri,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0034,terkait keluhan saya tentang lonjakan tagihan sudah selesai ditangani dan sudah diberikan win solutionnya oleh pln. terima kasih,terkait keluhan lonjakan tagihan selesai ditangani diberikan win solutionnya pln terima kasih,KLASIFIKASI SERVICE 020,1I,[],[]
PAKAR-0035,"kemudahan saat pembelian token habis, membuat konsumen puas",kemudahan pembelian token habis membuat konsumen puas,KLASIFIKASI FEATURE DESIGN,4A,['Feature Error'],['2B']
PAKAR-0036,"alhamdulillah tidak sampai menit beres pengajuan penbahan daya dari ke , kwh. jaya selalu pln.",alhamdulillah tidak menit beres pengajuan penahan daya kwh jaya selalu pln,KLASIFIKASI SERVICE 020,1C,[],[]
PAKAR-0037,melapor keluhan jadi lebih mudah,melapor keluhan lebih mudah,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0039,"suka mati listrik bulan bisa kali dan pln dari dulu tidak berkembang menuju era digital harus nya pelanggan beli token itu bisa dimasukkan tanpa harus ketik nomor angka ke kwh meter tapi bisa dimasukkan lewat online atau lewat aplikasi pln mobile dunia sudah berkembang banyak orang yang keluar rumah sampai beberapa minggu dan bulan lalu token nya habis, sampai kwh meter nya ngelock dari pln nya dan harus buka datang ke kantor pln dan dikenakan biaya, jadi sperti tidak ada manfaat nya aplikasi",suka mati listrik bulan bisa kali pln dulu tidak berkembang menuju era digital pelanggan beli token bisa dimasukkan ketik nomor angka kwh meter bisa dimasukkan lewat online lewat aplikasi pln mobile dunia berkembang banyak orang keluar rumah beberapa minggu bulan token habis kwh meter ngelock pln buka datang kantor pln dikenakan biaya sperti tidak manfaat aplikasi,KLASIFIKASI FEATURE DESIGN,4K,"['Feature Error', 'Service O2O']","['1A', '2B', '2C']"
PAKAR-0040,"teknisi wifi nya lama ! udah seminggu wifi saya mati sudah lapor tetep aja tidak dateng ! tolong bagian lapangannya di edukasi lagi atau di tambahin lagi biar keluhan cepet ditanganin, bayar tidak pernah telat tapi wifi tidak bisa di pake! siapa orang tidak emosi hei",teknisi wifi lama udah seminggu wifi mati lapor tetep tidak dateng bagian lapangannya edukasi tambahin biar keluhan cepet ditanganin bayar tidak pernah telat wifi tidak bisa pakai siapa orang tidak emosi hei,KLASIFIKASI ICONNET,6B,[],[]
PAKAR-0041,"layanan buat pengendara mobile listriknya keren banget, lengkap! liburan kemarin pakai fitur trip planner bikin tidak pusing lagi nyari spklu sepanjang rute trip",layanan buat pengendara mobile listriknya keren banget lengkap liburan kemarin pakai fitur trip planner bikin tidak pusing nyari spklu sepanjang rute trip,KLASIFIKASI FEATURE DESIGN,4Q,['Feature Error'],['2E']
PAKAR-0043,lebih hemat praktis daripada lapor ke pln pakai telepon,lebih hemat praktis lapor pln pakai telepon,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0044,aplikasi ini sangat membantu untuk mengkur penggunaan listrik di rumah saya,aplikasi sangat membantu mengkur penggunaan listrik rumah,KLASIFIKASI FEATURE DESIGN,4F,[],[]
PAKAR-0045,sangat membantu menghandle berbagai kebutuhan terkait kelistrikan ditambah fitur e commerxe dengan berbagai pilihan belanja semua layanan dalan genggaman,sangat membantu menghandle berbagai kebutuhan terkait kelistrikan ditambah fitur commerce berbagai pilihan belanja semua layanan dalan genggaman,KLASIFIKASI UMUM,3D,[],[]
PAKAR-0046,"semangat tim developer, buat pln mobilr jadi lebih bermanfaat",semangat tim developer buat pln mobilr lebih bermanfaat,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0047,"dengan pln mobile, pasang baru, tambah daya, lapor gangguan, beli token semua layanan kelistrikan semua makin mudah",pln mobile pasang baru tambah daya lapor gangguan beli token semua layanan kelistrikan semua makin mudah,KLASIFIKASI UMUM,3A,"['Feature Error', 'Service O2O']","['1A', '1C', '2B']"
PAKAR-0048,alhamdulillah pengurusan pergantian meteran proses cepat.,alhamdulillah pengurusan pergantian meteran proses cepat,KLASIFIKASI SERVICE 020,1C,[],[]
PAKAR-0049,"lapor gangguan, keluhan dan monitor pemakaian sekarang lebih mudah, aplikasi keren",lapor gangguan keluhan monitor pemakaian sekarang lebih mudah aplikasi keren,KLASIFIKASI FEATURE DESIGN,4D,['Service O2O'],['1A']
PAKAR-0050,"pln mobile memudahkan pelanggan dalam proses pelaporan gangguan, proses pb pada pembelian token. terbaik",pln mobile memudahkan pelanggan proses pelaporan gangguan proses pb pembelian token terbaik,KLASIFIKASI UMUM,3A,"['Feature Error', 'Service O2O']","['1C', '2B']"
PAKAR-0051,"makin gampang penggunaan fiturnya, mau cari tempat spklu juga gampang. tingkatkan terus layanan pln ya",makin gampang penggunaan fiturnya mau cari tempat spklu gampang tingkatkan terus layanan pln,KLASIFIKASI FEATURE DESIGN,4Q,['Feature Error'],['2E']
PAKAR-0053,enaknya tinggal dikota megah dan terang.tapi kami diplosok menderita ditemani pelita.khusus sumba barat daya cuman kami yang belum dapat nikmatnya terang energi.khusus di desa karuni rt rw . begitulah banyak orang pintar tanpa memikirkan kami di plosok yang gelap.,enaknya tinggal dikota megah terang diplosok menderita ditemani pelita khusus sumba barat daya cuman belum nikmatnya terang energi khusus desa karuni rt rw begitulah banyak orang pintar memikirkan plosok gelap,KLASIFIKASI UMUM,3F,[],[]
PAKAR-0054,"m r gading sari, kabupaten kampar, riau. tolong di perhatikan kabel dan tiang listrik tidak sesuai dengan standar nasional indonesia. kemarin petugas pln turun ke lapangan tetapi hasil yang di dapat warga sangat mengecewakan, petugas pln menyuruh warga untuk membuat tiang dari bambu. saya tambahin bintang nya,saya akan kasih bintang saat permintaan masyarakat terealisasi.trimakasih",gading sari kabupaten kampar riau perhatikan kabel tiang listrik tidak sesuai standar nasional indonesia kemarin petugas pln turun lapangan hasil warga sangat mengecewakan petugas pln menyuruh warga membuat tiang bambu tambahin bintang kasih bintang permintaan masyarakat terealisasi terima kasih,KLASIFIKASI SERVICE 020,1F,['Service O2O'],['1A']
PAKAR-0055,"aplikasi goblog ra iso dibukak layar putih tok raiso mlbu aplikasi,",aplikasi goblog ra iso dibukak layar putih tok raiso mlb aplikasi,KLASIFIKASI FEATURE ERROR,2A,[],[]
PAKAR-0056,terimaksih pln dan petugas cc up ternate sigap dan cepat untuk membantu,terimaksih pln petugas cc up ternate sigap cepat membantu,KLASIFIKASI SERVICE 020,1I,['Service O2O'],['1A']
PAKAR-0058,"laporan di aplikasi dari hbs maghrib, udah bikin tiket laporan, nunggu smpe jam masih aja mati, pas di followup ke cs live chat yang di aplikasi yang namanya fadhillah, justru responnya di wilayah saya tidak ada gangguan, ya kali saya lapor kalau tidak ada gangguan, mana ditanya terus tentang data nya, pdhl sebelumnya udah infokan alamt atau titik lokasi detailnya, di tiket yang dibuat juga sudah ada laporan jelasnya. bisa nya dibilang tidak ada gangguan ,artinya laporan dari pelanggan tidak ada tanggapan",laporan aplikasi hbs maghrib udah bikin tiket laporan nunggu smpe jam mati pas followup cs live chat aplikasi namanya fadhillah justru responnya wilayah tidak gangguan kali lapor tidak gangguan mana ditanya terus data pdhl sebelumnya udah infokan alamt titik lokasi detailnya tiket dibuat laporan jelasnya bisa dibilang tidak gangguan artinya laporan pelanggan tidak tanggapan,KLASIFIKASI SERVICE 020,1H,['Feature Design'],['4G']
PAKAR-0059,"sangat membatu mengurangi anak meteran dari pekerja pln, menambah anak meteran jadinya pembayaran yang seharusnya . ribu menjadi . ribu",sangat membatu mengurangi anak meteran pekerja pln menambah anak meteran jadinya pembayaran ribu menjadi ribu,KLASIFIKASI SERVICE 020,1D,['Feature Error'],['2B']
PAKAR-0062,pln mobile sangat membantu dalam proses pbpd,pln mobile sangat membantu proses pbpd,KLASIFIKASI FEATURE DESIGN,4B,[],[]
PAKAR-0063,harusnya kalau yang daya sudah ditiadakan ya tidak usah dipasang lagi difitur pemasangan baru. mana daftar pra bayar lah jadinya kok prabayar,harusnya daya ditiadakan tidak usah dipasang difitur pemasangan baru mana daftar prabayar jadinya prabayar,KLASIFIKASI FEATURE DESIGN,4B,['Service O2O'],"['1C', '1D']"
PAKAR-0064,"pelayanan sat set jam setelah ada pengaduan, teknisi datang dan masalah listrik terselesaikan",pelayanan sat set jam pengaduan teknisi datang masalah listrik terselesaikan,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0065,"sebetulnya sangat membantu, cuma kadang ketika kita melakukan pencatatan meter jaringan selalu sibuk. apakah memang selalu begitu tiap saat kita melakukan pencatatan meter?",sangat membantu cuma kadang melakukan pencatatan meter jaringan selalu sibuk memang selalu tiap melakukan pencatatan meter,KLASIFIKASI FEATURE ERROR,2H,[],[]
PAKAR-0066,pengaduan mulai jam smpek jam tidak di respon telfon ke baru omong detik pulsa rb udah habis mnjengekelkan,pengaduan mulai jam smpek jam tidak respon telfon baru omong detik pulsa rb udah habis mnjengekelkan,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0067,menjijikan ya. rata aplikasi bumn yang budgetnya ekstra besar itu. kok bug terus. error.,menjijikan rata aplikasi bumn budgetnya ekstra besar bug terus error,KLASIFIKASI FEATURE ERROR,2A,[],[]
PAKAR-0068,"semakin kesini semakin aneh, lapor tanggal des pengerjaan tanggal des ditahun yang sama",semakin kesini semakin aneh lapor tanggal des pengerjaan tanggal des ditahun sama,KLASIFIKASI FEATURE ERROR,2C,[],[]
PAKAR-0069,"user tracking dilarang mengakses fitur ini maksudnya bagaimana dah,mau ngecek pengaduan jadi tidak bisa",user tracking dilarang mengakses fitur maksudnya bagaimana dah mau ngecek pengaduan tidak bisa,KLASIFIKASI FEATURE ERROR,2C,[],[]
PAKAR-0070,setelah update sering force close,update sering force close,KLASIFIKASI FEATURE ERROR,2A,[],[]
PAKAR-0072,lelet.semakin hari semakin gangguan jaringan.tlng koreksi lagi,lamban semakin hari semakin gangguan jaringan tlng koreksi,KLASIFIKASI FEATURE ERROR,2A,[],[]
PAKAR-0073,pelayanan ulp mattoanging sangat baik,pelayanan ulp mattoanging sangat baik,KLASIFIKASI SERVICE 020,1D,[],[]
PAKAR-0074,"pln mobile sudah bisa catat meter, mantap pln mobile",pln mobile bisa catat meter mantap pln mobile,KLASIFIKASI FEATURE DESIGN,4I,['Feature Error'],['2H']
PAKAR-0075,pln slawi bagaimana ini. listrik mati mulu dah. hadeh. nyusahin warga.,pln slawi bagaimana listrik mati mulu dah hadeh nyusahin warga,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0076,seneng banget pakai aplikasi ini jadi mudah untuk mengakses langsung ke pln jika ada ganguan di kwh atau lain sebagainya,seneng banget pakai aplikasi mudah mengakses langsung pln ganguan kwh sebagainya,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0077,halo. mohon untuk pengaduan layanan kelistrikan agar cepat ditanggapi. pajak mencekik layanan makin buruk! ! sampai kapanpun kalau hanya manipulasi rating bakal jadi boom waktu!,halo mohon pengaduan layanan kelistrikan cepat ditanggapi pajak mencekik layanan makin buruk kapanpun manipulasi rating bakal boom waktu,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0079,lemot. update pemasangan lama. padahal pembayaran sudah lunas.,lamban update pemasangan lama padahal pembayaran lunas,KLASIFIKASI SERVICE 020,1C,['Feature Error'],['2B']
PAKAR-0080,"listrik didaerah saya tiap hari mati, tolong pihak pln segera diperbaiki layanan anda. ini alamat nya kp.citemen rt. rw des.pasir baru kec.cisolok kab.sukabumi, pasir baru, kec. cisolok, kabupaten sukabumi, jawa barat .",listrik didaerah tiap hari mati pihak pln segera diperbaiki layanan alamat kp ditemen rt rw des pasir baru kec cisolok kab sukabumi pasir baru kec cisolok kabupaten sukabumi jawa barat,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0081,"pln mobile joz pokonya, aduan kwh meter grounding,mcb off kwh meter tetap jalan trs,lngsung direspon,ditangani,gercep,.pengerjaan tidak nyampe menit kwh meter sudah selesai,normal kembali,",pln mobile joz pokonya aduan kwh meter grounding mcb off kwh meter tetap jalan terus lngsung direspon ditangani gerak cepat pengerjaan tidak nyampe menit kwh meter selesai normal,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0082,"saya sudah punya watt non sub dl sub ada pengurangan dicabut jadi non sub listrikku nm tetanggaku krn yang punya kartu blt tetanggaku dulu selain yang punya kartu blt tidak boleh pasang listrik,sy juga dapat bansos listrik gratis tapi dilempar ke orang lain krna saya sudah punya dan skrg saya mau pasang yang watt krn yang lama keberatan bayar pulsanya sedangkan pekerjaan cuma kuli tani serabutan.",punya watt non sub dl sub pengurangan dicabut non sub listrikku nm tetanggaku krn punya kartu blt tetanggaku dulu punya kartu blt tidak pasang listrik saya bansos listrik gratis dilempar orang krna punya skrg mau pasang watt krn lama keberatan bayar pulsanya pekerjaan cuma kuli tani serabutan,KLASIFIKASI UMUM,3F,[],[]
PAKAR-0083,pln tasik yang di loket saya ke sana tadinya mau minta solusi pulang tidak dapet apa. orang nya tidak cocok ada di sana pelayanan nya parah,pln tasik loket sana tadinya mau minta solusi pulang tidak dapet apa orang tidak cocok sana pelayanan parah,KLASIFIKASI SERVICE 020,1D,[],[]
PAKAR-0084,nomor token tolong lebih besar lagi angkanya. kalau kecil gitu bikin rusak mata.,nomor token lebih besar angkanya kecil gitu bikin rusak mata,KLASIFIKASI FEATURE DESIGN,4E,['Feature Error'],['2B']
PAKAR-0085,kenapa di akun pln mobile saya belum bisa migrasi kwh prabayar ke pascabayar ?,akun pln mobile belum bisa migrasi kwh prabayar pascabayar,KLASIFIKASI FEATURE DESIGN,4B,['Service O2O'],"['1C', '1D']"
PAKAR-0086,"untuk tim it fitur tambahan id pelanggan kalau memang maksimum jgn tiba dilhilangkan fitur nya tapi beri keterangan mohon maaf tidak bisa menambahkan id maks atau bisa kembangkan lagi jadi id, krn saya termasuk penggunaan pln yang lebih dari kwh yang berbeda, fitur ini sangat berguna kalau bisa diperbanyak krn kita sebagai konsumen bisa lebih mudah mendapatkan notifikasi, tagihan, kendala, dll. mohon untuk dipertimbangkan",tim it fitur tambahan id pelanggan memang maksimum jgn tiba dihilangkan fitur beri keterangan mohon maaf tidak bisa menambahkan id maks bisa kembangkan id krn termasuk penggunaan pln lebih kwh berbeda fitur sangat berguna bisa diperbanyak krn konsumen bisa lebih mudah mendapatkan notifikasi tagihan kendala mohon dipertimbangkan,KLASIFIKASI FEATURE DESIGN,4K,['Feature Error'],['2G']
PAKAR-0087,"kwh sering restart , petugas survey ketempat. akhirnya di sarankan ganti kwh meter, nanti akan ada yang menghubungi untuk konfirmasi. pelayanan mantap, cepat, tanggap. terima kasih pln mobile",kwh sering restart petugas survey ketempat akhirnya sarankan ganti kwh meter menghubungi konfirmasi pelayanan mantap cepat tanggap terima kasih pln mobile,KLASIFIKASI SERVICE 020,1E,['Service O2O'],['1A']
PAKAR-0088,"aplikasi nya oke, tapi penanganan nya tetep aja lambat. dulu trackingnya jelas ada semua history nya. sekarang justru gantung gitu setiap pengaduan? kudu piye? jadi sama aja dong. orang ngadu tidak ditanggepi? aplikasi awal oke jadi tidak sama sekali oke",aplikasi oke penanganan tetep lambat dulu trackingnya jelas semua history sekarang justru gantung gitu pengaduan kudu piye sama orang ngadu tidak ditanggepi aplikasi awal oke tidak sama sekali oke,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0089,kok gaq ada penurunan daya dari turun ke,gaq penurunan daya turun,KLASIFIKASI FEATURE DESIGN,4B,[],[]
PAKAR-0090,"pelayanan ng jelas, kru di lapangan di hubungi susah, giliran kita nunggu jawaban ng ada respon justru pengaduan di batalkan, kea apa sih pelayanannya pln ini, saya loh mau isi voucher token nda bsa, ditangani tapi ng fast respon, tolong ya diperbaiki, standar kualitas bagaimana kalau kea gtu caranya.",pelayanan ng jelas kru lapangan hubungi susah giliran nunggu jawaban ng respon justru pengaduan batalkan kea apa pelayanannya pln mau isi voucher token nda bisa ditangani ng fast respon diperbaiki standar kualitas bagaimana kea gtu caranya,KLASIFIKASI SERVICE 020,1B,['Feature Error'],['2B']
PAKAR-0092,ganti box meteran pln gratis tanpa di pungut biaya sepeserpun. petugasnya ramah dan baik banget. terimakasih. semoga pln semakin ditingkatkan pelayanannya.,ganti box meteran pln gratis pungut biaya sepeserpun petugasnya ramah baik banget terima kasih semoga pln semakin ditingkatkan pelayanannya,KLASIFIKASI SERVICE 020,1I,[],[]
PAKAR-0094,enak beli token di apikasi mobilepln murah banget,enak beli token apikasi pln mobile murah banget,KLASIFIKASI FEATURE DESIGN,4H,['Feature Error'],['2B']
PAKAR-0095,"andai saja ada tandingan macam pertamina dengan shell, vivo dan yang lainnya saya pastikan turunan saya kedepannya pakai yang lain pln selain monopoli, listrik tidak mutu, tanggung jawab kurang, tidak ada sisi baiknya untuk kepentingan warga",andai tandingan macam pertamina shell vivo lainnya pastikan turunan kedepannya pakai pln monopoli listrik tidak mutu tanggung jawab kurang tidak sisi baiknya kepentingan warga,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0096,mohon penjelasannya kenapa tagihan listrik naik kali lipat? masa daya kwh va sampe ribu? bukannya limit batas maksimal kwh va sampe ribu paling besar?,mohon penjelasannya tagihan listrik naik kali lipat masa daya kwh va sampe ribu bukannya limit batas maksimal kwh va sampe ribu paling besar,KLASIFIKASI SERVICE 020,1D,[],[]
PAKAR-0097,iconett di dumai kok mahal ya?,iconett dumai mahal,KLASIFIKASI ICONNET,6E,[],[]
PAKAR-0098,"ini sebenarnya bagaimana si, saya mau mengajukan kwh listri saya ada tulisan periksa, lewat aplikasi ini justru ngk bisa buat pengajuan, saya sudah hubungi ke ig wa gmail juga tidak di balas, ajukan lewat sini justru hpsaya mati tiba, kecewa saya dengan aplikasi ini",sebenarnya bagaimana si mau mengajukan kwh listri tulisan periksa lewat aplikasi justru ngk bisa buat pengajuan hubungi ig wa gmail tidak balas ajukan lewat sini justru hpsaya mati tiba kecewa aplikasi,KLASIFIKASI FEATURE ERROR,2D,[],[]
PAKAR-0099,hari. kok belum terverifikasi traugraed?,hari belum terverifikasi traugraed,KLASIFIKASI REGISTRATION,5D,[],[]
PAKAR-0100,token saya tidak di ganti udah bulan setelah pergantian kwh. udah hubungi pln tidak ada penyelesaian dan saya hubungi petugas yang ganti kwh nya tidak di respon padahal saya cm minta hak saya.,token tidak ganti udah bulan pergantian kwh udah hubungi pln tidak penyelesaian hubungi petugas ganti kwh tidak respon padahal cm minta hak,KLASIFIKASI SERVICE 020,1D,"['Feature Error', 'Service O2O']","['1A', '2B']"
PAKAR-0101,ralat. ada oknum petugas pln yang mematok harga tarif pasang baru jauh di atas yang tertera di aplikasi jika pasangnya lewat oknum ini. apakah itu termasuk pungli ?,ralat oknum petugas pln mematok harga tarif pasang baru jauh atas tertera aplikasi pasangnya lewat oknum termasuk pungli,KLASIFIKASI SERVICE 020,1F,['Service O2O'],"['1A', '1C']"
PAKAR-0104,respon terhadap keluhan gangguan pelayanan sangat cepat dan memuaskan.,respon keluhan gangguan pelayanan sangat cepat memuaskan,KLASIFIKASI SERVICE 020,1I,[],[]
PAKAR-0105,"pasang iconnet gagal karena terminal penuh di suruh refund sendiri kok tidak otomatis uang kembali, di record kan ada terus teknisi juga kan ada laporannya masih aja harus isi ini itu di web apa gunanya aplikasi kalau masih ribet, bayar cepet refund ribet.",pasang iconnet gagal terminal penuh suruh refund sendiri tidak otomatis uang record kan terus teknisi kan laporannya isi web apa gunanya aplikasi rumit bayar cepet refund rumit,KLASIFIKASI ICONNET,6C,['ICONNET'],['6A']
PAKAR-0106,saran dari saya pelayanannya ditingkatkan kembali dan tarif listrik per kwh di turunkan yang . . terima kasih,saran pelayanannya ditingkatkan tarif listrik kwh turunkan terima kasih,KLASIFIKASI UMUM,3F,[],[]
